ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma19-4-382,Ma19,4,+,,,Szeto2018
Ma19-5-383,Ma19,5,+,,,Szeto2018
Ma19-6-384,Ma19,6,+,,,Szeto2018
Ma19-7-385,Ma19,7,+,,,Szeto2018
Ma19-8-386,Ma19,8,–,,,Szeto2018
Ma19-9-387,Ma19,9,+,,,Szeto2018
Ma19-10-388,Ma19,10,+,,,Szeto2018
Ma19-11-389,Ma19,11,–,,,Szeto2018
Ma19-12-390,Ma19,12,–,,,Szeto2018
Ma19-13-391,Ma19,13,–,,,Szeto2018
Ma19-14-392,Ma19,14,–,,,Szeto2018
Ma19-15-393,Ma19,15,–,,,Szeto2018
Ma19-16-394,Ma19,16,+,,,Szeto2018
Ma19-17-395,Ma19,17,+,,,Szeto2018
Ma19-18-396,Ma19,18,–,,,Szeto2018
Ma19-19-397,Ma19,19,+,,,Szeto2018
Ma19-20-398,Ma19,20,+,,,Szeto2018
Ma19-21-399,Ma19,21,–,,,Szeto2018
Ma20-1-400,Ma20,1,+,,,Szeto2018
Ma20-2-401,Ma20,2,+,,,Szeto2018
Ma20-3-402,Ma20,3,–,,,Szeto2018
Ma20-4-403,Ma20,4,+,,,Szeto2018
Ma20-5-404,Ma20,5,+,,,Szeto2018
Ma20-6-405,Ma20,6,–,,,Szeto2018
Ma20-7-406,Ma20,7,+,,,Szeto2018
Ma20-8-407,Ma20,8,–,,,Szeto2018
Ma20-9-408,Ma20,9,+,,,Szeto2018
Ma20-10-409,Ma20,10,+,,,Szeto2018
Ma20-11-410,Ma20,11,–,,,Szeto2018
Ma20-12-411,Ma20,12,–,,,Szeto2018
Ma20-13-412,Ma20,13,+,,,Szeto2018
Ma20-14-413,Ma20,14,–,,,Szeto2018
Ma20-15-414,Ma20,15,–,,,Szeto2018
Ma20-16-415,Ma20,16,–,,,Szeto2018
Ma20-17-416,Ma20,17,–,,,Szeto2018
Ma20-18-417,Ma20,18,+,,,Szeto2018
Ma20-19-418,Ma20,19,+,,,Szeto2018
Ma20-20-419,Ma20,20,+,,,Szeto2018
Ma20-21-420,Ma20,21,–,,,Szeto2018
Ma21-1-421,Ma21,1,+,,,Szeto2018
Ma21-2-422,Ma21,2,+,,,Szeto2018
Ma21-3-423,Ma21,3,–,,,Szeto2018
Ma21-4-424,Ma21,4,–,,,Szeto2018
Ma21-5-425,Ma21,5,–,,,Szeto2018
Ma21-6-426,Ma21,6,–,,,Szeto2018
Ma21-7-427,Ma21,7,–,,,Szeto2018
Ma21-8-428,Ma21,8,–,,,Szeto2018
Ma21-9-429,Ma21,9,+,,,Szeto2018
Ma21-10-430,Ma21,10,+,,,Szeto2018
Ma21-11-431,Ma21,11,–,,,Szeto2018
Ma21-12-432,Ma21,12,–,,,Szeto2018
Ma21-13-433,Ma21,13,+,,,Szeto2018
Ma21-14-434,Ma21,14,+,,,Szeto2018
Ma21-15-435,Ma21,15,+,,,Szeto2018
Ma21-16-436,Ma21,16,+,,,Szeto2018
Ma21-17-437,Ma21,17,–,,,Szeto2018
Ma21-18-438,Ma21,18,–,,,Szeto2018
Ma21-19-439,Ma21,19,+,,,Szeto2018
Ma21-20-440,Ma21,20,–,,,Szeto2018
Ma21-21-441,Ma21,21,–,,,Szeto2018
Ma22-1-442,Ma22,1,–,,,Szeto2018
Ma22-2-443,Ma22,2,–,,,Szeto2018
Ma22-3-444,Ma22,3,–,,,Szeto2018
Ma22-4-445,Ma22,4,–,,,Szeto2018
Ma22-5-446,Ma22,5,+,,,Szeto2018
Ma22-6-447,Ma22,6,+,,,Szeto2018
Ma22-7-448,Ma22,7,–,,,Szeto2018
Ma22-8-449,Ma22,8,+,,,Szeto2018
Ma22-9-450,Ma22,9,+,,,Szeto2018
Ma22-10-451,Ma22,10,+,,,Szeto2018
Ma22-11-452,Ma22,11,–,,,Szeto2018
Ma22-12-453,Ma22,12,–,,,Szeto2018
Ma22-13-454,Ma22,13,+,,,Szeto2018
Ma22-14-455,Ma22,14,+,,,Szeto2018
Ma22-15-456,Ma22,15,–,,,Szeto2018
Ma22-16-457,Ma22,16,–,,,Szeto2018
Ma22-17-458,Ma22,17,+,,,Szeto2018
Ma22-18-459,Ma22,18,+,,,Szeto2018
Ma22-19-460,Ma22,19,+,,,Szeto2018
Ma22-20-461,Ma22,20,+,,,Szeto2018
Ma22-21-462,Ma22,21,–,,,Szeto2018
Ma23-1-463,Ma23,1,+,,,Szeto2018
Ma23-2-464,Ma23,2,+,,,Szeto2018
Ma23-3-465,Ma23,3,–,,,Szeto2018
Ma23-4-466,Ma23,4,–,,,Szeto2018
Ma23-5-467,Ma23,5,+,,,Szeto2018
Ma23-6-468,Ma23,6,+,,,Szeto2018
Ma23-7-469,Ma23,7,–,,,Szeto2018
Ma23-8-470,Ma23,8,+,,,Szeto2018
Ma23-9-471,Ma23,9,+,,,Szeto2018
Ma23-10-472,Ma23,10,–,,,Szeto2018
Ma23-11-473,Ma23,11,–,,,Szeto2018
Ma23-12-474,Ma23,12,+,,,Szeto2018
Ma23-13-475,Ma23,13,+,,,Szeto2018
Ma23-14-476,Ma23,14,+,,,Szeto2018
Ma23-15-477,Ma23,15,–,,,Szeto2018
Ma23-16-478,Ma23,16,–,,,Szeto2018
Ma23-17-479,Ma23,17,+,,,Szeto2018
Ma23-18-480,Ma23,18,–,,,Szeto2018
Ma23-19-481,Ma23,19,+,,,Szeto2018
Ma23-20-482,Ma23,20,+,,,Szeto2018
Ma23-21-483,Ma23,21,–,,,Szeto2018
Ma24-1-484,Ma24,1,–,,,Szeto2018
Ma24-2-485,Ma24,2,–,,,Szeto2018
Ma24-3-486,Ma24,3,–,,,Szeto2018
Ma24-4-487,Ma24,4,–,,,Szeto2018
Ma24-5-488,Ma24,5,+,,,Szeto2018
Ma24-6-489,Ma24,6,+,,,Szeto2018
Ma24-7-490,Ma24,7,–,,,Szeto2018
Ma24-8-491,Ma24,8,–,,,Szeto2018
Ma24-9-492,Ma24,9,+,,,Szeto2018
